Code;Subject Name;Known as;Syllabus
3150004;Contributor Personality Development Program;CPDP;https://bit.ly/3s0msM6
3150005;Integrated Personality Development Course;IPDC;https://bit.ly/3Am4RB4
3150703;Analysis and Design of Algorithms;ADA;https://bit.ly/3rXqKDU
3150709;Professional Ethics;PE;https://bit.ly/3lEkRu6
3150710;Computer Networks;CN;https://bit.ly/2VFps4c
3150711;Software Engineering;SE;https://bit.ly/3AeZ00k
3150712;Computer Graphics;CG;https://bit.ly/3xutXfp
3150713;Python for Data Science;PDS;https://bit.ly/3CqTZnh
3150714;Cyber Security;CS;https://bit.ly/3fIk5bI
2150704;Object-Oriented Programming Using JAVA;OOP2;https://bit.ly/3Cs3oLq
2150708;System Programing;SP;https://bit.ly/3iuVM2V
2150707;Microprocessor and Interfacing;MAI;https://bit.ly/2VrIxrc
